nct,drug_query,drug,chembl,drug_type,max_stage,targets,n_targets,moa,phase,n,cond,why,sponsor
NCT04551053,ruxolitinib,RUXOLITINIB,CHEMBL1789941,Small molecule,APPROVAL,JAK1;JAK2;JAK3;TYK2,4,Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; ,PHASE3,177,Myelofibrosis|Primary Myelofibrosis|Post Essential Thrombocy,The study was terminated due to futility.,Incyte Corporation
NCT04551066,ruxolitinib,RUXOLITINIB,CHEMBL1789941,Small molecule,APPROVAL,JAK1;JAK2;JAK3;TYK2,4,Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; ,PHASE3,252,Myelofibrosis|Primary Myelofibrosis|Post Essential Thrombocy,The study was terminated due to futility.,Incyte Corporation
NCT02928445,rvt-101,INTEPIRDINE,CHEMBL1083390,Small molecule,PHASE_3,HTR6,1,Serotonin 6 (5-HT6) receptor antagonist,PHASE2/PHASE3,240,Dementia With Lewy Bodies,Intepirdine did not meet its primary efficacy endpoints in the lead-in study RVT-101-2001.,Axovant Sciences Ltd.
NCT04181762,secukinumab,SECUKINUMAB,CHEMBL1743068,Antibody,APPROVAL,IL17A,1,Interleukin 17A inhibitor,PHASE3,275,Lupus Nephritis,Study terminated by sponsor due to futility analysis,Novartis Pharmaceuticals
NCT02508649,selepressin,SELEPRESSIN,CHEMBL1817709,Protein,PHASE_2_3,AVPR1A,1,Vasopressin V1a receptor agonist,PHASE2/PHASE3,868,Septic Shock,Terminated due to futility,Ferring Pharmaceuticals
NCT03689244,selexipag,SELEXIPAG,CHEMBL238804,Small molecule,APPROVAL,PTGIR,1,Prostanoid IP receptor agonist,PHASE3,128,Chronic Thromboembolic Pulmonary Hypertension,"The study did not demonstrate efficacy on the primary endpoint, PVR vs. placebo at wk 20 at a planned interim analysis.",Actelion
NCT00120289,simvastatin,SIMVASTATIN,CHEMBL1064,Small molecule,APPROVAL,HMGCR,1,HMG-CoA reductase inhibitor,PHASE3,3414,Cardiovascular Diseases|Heart Diseases|Cerebrovascular Accid,AIM-HIGH was stopped on the recommendation of the DSMB because of lack of efficacy of niacin in preventing primary outcome events.,Axio Research. LLC
NCT01057758,simvastatin,SIMVASTATIN,CHEMBL1064,Small molecule,APPROVAL,HMGCR,1,HMG-CoA reductase inhibitor,PHASE3,300,Pneumonia,stopped for futility,Assistance Publique Hopitaux De Marseill
NCT01061671,simvastatin,SIMVASTATIN,CHEMBL1064,Small molecule,APPROVAL,HMGCR,1,HMG-CoA reductase inhibitor,PHASE3,885,"Pulmonary Disease, Chronic Obstructive",Futility,University of Minnesota
NCT01127633,solanezumab,SOLANEZUMAB,CHEMBL1743072,Antibody,PHASE_3,APP,1,Amyloid-beta A4 protein binding agent,PHASE3,1457,Alzheimer's Disease,Solanezumab did not meet the primary endpoint in study H8A-MC-LZAX.,Eli Lilly and Company
NCT01900665,solanezumab,SOLANEZUMAB,CHEMBL1743072,Antibody,PHASE_3,APP,1,Amyloid-beta A4 protein binding agent,PHASE3,2129,Alzheimer's Disease,Solanezumab did not meet the study's primary endpoint.,Eli Lilly and Company
NCT05163314,soticlestat,SOTICLESTAT,CHEMBL4298172,Small molecule,PHASE_3,CYP46A1,1,Cholesterol 24-hydroxylase inhibitor,PHASE3,352,Dravet Syndrome (DS)|Lennox Gastaut Syndrome (LGS),Due to negative results from phase 3 SKYLINE and SKYWAY studies and unrelated to patient safety it has been determined that supplementary data from TAK-935-3003 study is ,Takeda
NCT03635073,soticlestat,SOTICLESTAT,CHEMBL4298172,Small molecule,PHASE_3,CYP46A1,1,Cholesterol 24-hydroxylase inhibitor,PHASE2,156,Epilepsy|Dravet Syndrome (DS)|Lennox-Gastaut Syndrome (LGS),Due to negative results from phase 3 SKYLINE and SKYWAY studies and unrelated to patient safety it has been determined that supplementary data from TAK-935-18-001 study i,Takeda
NCT01436175,spd489 antidepressant,LISDEXAMFETAMINE DIMESYLATE,CHEMBL1201178,Small molecule,APPROVAL,SLC18A2;SLC6A2;SLC6A3,3,Dopamine transporter releasing agent; Norepinephrine transporter releasing agent; Synaptic vesicular amine transporter i,PHASE3,1570,Major Depressive Disorder,SPD489 failed to demonstrate a benefit as adjunctive treatment to antidepressants. Termination was not related to any new safety findings.,Shire
NCT02691182,spn-810,MOLINDONE,CHEMBL460,Small molecule,APPROVAL,DRD2;HTR2A,2,Dopamine D2 receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist,PHASE3,491,Attention Deficit Hyperactivity Disorder (ADHD),The program was shut down due to a lack of efficacy.,"Supernus Pharmaceuticals, Inc."
NCT01337154,tamibarotene,TAMIBAROTENE,CHEMBL25202,Small molecule,PHASE_3,RARA;RARB,2,Retinoic acid receptor alpha agonist; Retinoic acid receptor beta agonist,PHASE2,140,Stage IIIB Non-small Cell Lung Cancer With Pleural Effusion|,Interim analysis showed that the primary endpoint would not be met.,CytRx
NCT02518971,tamsulosin,TAMSULOSIN,CHEMBL836,Small molecule,APPROVAL,ADRA1A;ADRA1B;ADRA1D,3,Adrenergic receptor alpha-1 antagonist,PHASE3,176,Postoperative Urinary Retention,interim analysis revealed no significant difference between study groups \& increased sample size required to gain significance.,University of Michigan
NCT02975349,tecfidera,DIMETHYL FUMARATE,CHEMBL2107333,Small molecule,APPROVAL,KEAP1,1,Kelch-like ECH-associated protein 1 inhibitor,PHASE2,267,Relapsing-remitting Multiple Sclerosis,Results from the EVOLUTION clinical trials showed evobrutinib did not meet its primary endpoint of annualized relapse rate for up to 156 weeks compared to oral teriflunom,EMD Serono Research & Development Instit
NCT00471237,teriparatide,TERIPARATIDE,CHEMBL525610,Protein,APPROVAL,PTH1R,1,Parathyroid hormone receptor agonist,PHASE2,564,Osteoporosis,Terminated for futility by sponsor after a pre-planned interim review of data,GlaxoSmithKline
NCT02418572,testosterone,TESTOSTERONE,CHEMBL386630,Small molecule,APPROVAL,AR,1,Androgen Receptor agonist,PHASE3,290,Infertility|Poor Ovarian Response,"Having reached the sample size described for the interim analysis and having seen the post-interim results, the sponsor has decided to stop the trial due to futility.",Fundacion Dexeus
NCT03567291,tev-50717,DEUTETRABENAZINE,CHEMBL3137326,Small molecule,APPROVAL,SLC18A2,1,Synaptic vesicular amine transporter inhibitor,PHASE3,228,Tourette Syndrome,The parent trials did not meet the primary endpoints of reduction in motor and phonic tics.,Teva Branded Pharmaceutical Products R&D
NCT03809663,tezepelumab,TEZEPELUMAB,CHEMBL3707229,Antibody,APPROVAL,TSLP,1,Thymic stromal lymphopoietin inhibitor,PHASE2,251,Atopic Dermatitis,Tezepelumab as a monotherapy in atopic dermatitis did not reach the targeted efficacy level pre-established for this patient population.,Amgen
NCT03712787,tilavonemab,TILAVONEMAB,CHEMBL4297860,Antibody,PHASE_2,MAPT,1,Microtubule-associated protein tau inhibitor,PHASE2,364,Alzheimer's Disease,Discontinued because of lack of efficacy in the parent study (Study M15-566; NCT02880956).,AbbVie
NCT01244191,tivantinib,TIVANTINIB,CHEMBL2103882,Small molecule,PHASE_3,MET,1,Hepatocyte growth factor receptor inhibitor,PHASE3,1048,"Non Squamous, Non-small-cell Lung Cancer",Sponsor decision due to the protocol-defined stopping boundary for futility was met based on the interim OS data.,Daiichi Sankyo
NCT01209689,tocilizumab,TOCILIZUMAB,CHEMBL1237022,Antibody,APPROVAL,IL6R,1,Interleukin-6 receptor alpha subunit inhibitor,PHASE3,113,"Spondylitis, Ankylosing",Clinical development program terminated due to failure to achieve efficacy,Hoffmann-La Roche
NCT01227512,tolvaptan,TOLVAPTAN,CHEMBL344159,Small molecule,APPROVAL,AVPR2,1,Vasopressin V2 receptor antagonist,PHASE3,124,Hyponatremia|Dilutional Hyponatremia|Inappropriate ADH Syndr,"Recruitment challenges and results of interim futility analysis, which showed less than likely to achieve primary endpoint goal-length of hospital stay.",Otsuka Pharmaceutical Development & Comm
NCT00097344,toremifene,TOREMIFENE,CHEMBL1655,Small molecule,APPROVAL,ESR1;ESR2,2,Estrogen receptor modulator,PHASE3,842,"Breast Neoplasms|Neoplasms, Hormone-Dependent",Identical study Biomed 777-CLP-029 did not meet superiority endpoint,Intarcia Therapeutics
NCT00267553,toremifene,TOREMIFENE,CHEMBL1655,Small molecule,APPROVAL,ESR1;ESR2,2,Estrogen receptor modulator,PHASE3,200,"Breast Neoplasms|Neoplasms, Hormone-Dependent",This was a follow-on study to Biomed 777-CLP-029 which did not meet superiority endpoint,Intarcia Therapeutics
NCT00059202,ursodeoxycholic acid,URSODIOL,CHEMBL1551,Small molecule,APPROVAL,NR1H4,1,Bile acid receptor FXR agonist,PHASE2/PHASE3,150,Primary Sclerosing Cholangitis,DSMB reviewed interim analysis and terminated the study due to futility.,National Institute of Diabetes and Diges
NCT05079230,venetoclax,VENETOCLAX,CHEMBL3137309,Small molecule,APPROVAL,BCL2,1,Apoptosis regulator Bcl-2 inhibitor,PHASE3,378,Acute Myeloid Leukemia,Study was terminated due to futility,Gilead Sciences
NCT03523728,venglustat,VENGLUSTAT,CHEMBL4297611,Small molecule,PHASE_3,UGCG,1,Ceramide glucosyltransferase inhibitor,PHASE2/PHASE3,478,"Polycystic Kidney, Autosomal Dominant",Interim analysis for futility of the Stage 1 of the EFC15392 study met the protocol specified stopping rule based on the primary endpoint. EFC15392 study was stopped for ,"Genzyme, a Sanofi Company"
NCT02906020,venglustat gz sar402671,VENGLUSTAT,CHEMBL4297611,Small molecule,PHASE_3,UGCG,1,Ceramide glucosyltransferase inhibitor,PHASE2,273,Parkinson's Disease,The topline results of the 52-week double-blind placebo-controlled period were analyzed. The study did not meet the primary or secondary endpoints. Based on these results,"Genzyme, a Sanofi Company"
NCT00354432,venlafaxine,VENLAFAXINE,CHEMBL637,Small molecule,APPROVAL,SLC6A2;SLC6A4,2,Norepinephrine transporter inhibitor; Serotonin transporter inhibitor,PHASE3,120,Hot Flashes|Prostate Cancer,Stopped by the DSMB for lack of effect per interim stopping rule.,Wake Forest University Health Sciences
NCT00279422,visilizumab,VISILIZUMAB,CHEMBL2108811,Antibody,PHASE_3,CD3E,1,T-cell surface glycoprotein CD3 epsilon chain inhibitor,PHASE2/PHASE3,127,Ulcerative Colitis,"DMC recommendation, no efficacy",Facet Biotech
NCT00464061,volinanserin,VOLINANSERIN,CHEMBL74355,Small molecule,PHASE_3,HTR2A,1,Serotonin 2a (5-HT2a) receptor antagonist,PHASE3,1847,Sleep Initiation and Maintenance Disorders,Sponsor's decision due to absence of demonstration of efficacy of volinanserin in primary insomnia with predominant sleep maintenance problems,Sanofi
NCT01767857,xilonix,BERMEKIMAB,CHEMBL2109653,Antibody,APPROVAL,IL1A,1,Interleukin-1 alpha inhibitor,PHASE3,643,Metastatic Colorectal Cancer,The study crossed the prospective futility boundary of primary endpoint,"Janssen Research & Development, LLC"
NCT03517566,zpl389,ADRIFORANT,CHEMBL1915540,Small molecule,PHASE_2,HRH4,1,Histamine H4 receptor antagonist,PHASE2,293,Atopic Dermatitis,Lack of efficacy,Novartis Pharmaceuticals
