nct,drug_query,drug,chembl,drug_type,max_stage,targets,n_targets,moa,phase,n,cond,why,sponsor
NCT00998764,bapineuzumab,BAPINEUZUMAB,CHEMBL2108576,Antibody,PHASE_3,APP,1,Amyloid-beta A4 protein binding agent,PHASE3,494,Alzheimer Disease,"The study was terminated on August 6, 2012, because 2 large Phase 3 studies showed no clinical benefit. This decision was not based on any new safety concerns.",Pfizer
NCT00996918,bapineuzumab,BAPINEUZUMAB,CHEMBL2108576,Antibody,PHASE_3,APP,1,Amyloid-beta A4 protein binding agent,PHASE3,198,Alzheimer Disease,"The study was terminated on August 6, 2012, because 2 large Phase 3 studies showed no clinical benefit. This decision was not based on any new safety concerns.",Pfizer
NCT04891133,baricitinib,BARICITINIB,CHEMBL2105759,Small molecule,APPROVAL,JAK1;JAK2,2,Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor,PHASE2/PHASE3,290,COVID-19|Emerging Infectious Disease,"The trial was stopped prematurely due to external evidence that arose during the study period showing that the IMP, baricitinib, was not effective in the primary study po",Oslo University Hospital
NCT04729608,batiraxcept,BATIRAXCEPT,CHEMBL4594462,Protein,PHASE_3,GAS6,1,Growth arrest-specific protein 6 inhibitor,PHASE3,366,Platinum-resistant Ovarian Cancer,There were no significant differences in median PFS between batiraxcept + paclitaxel or paclitaxel alone arms. There was no detriment to overall survival. No new safety s,"Aravive, Inc."
NCT04543409,benralizumab,BENRALIZUMAB,CHEMBL1742991,Antibody,APPROVAL,IL5RA,1,Interleukin-5 receptor subunit alpha inhibitor,PHASE3,211,Eosinophilic Esophagitis,High-level results from the MESSINA Phase III trial showed that AstraZeneca's Fasenra (benralizumab) did not meet one of the two dual-primary endpoints. Given the lack of,AstraZeneca
NCT04791319,bermekimab,BERMEKIMAB,CHEMBL2109653,Antibody,APPROVAL,IL1A,1,Interleukin-1 alpha inhibitor,PHASE2,199,"Dermatitis, Atopic",Premature Termination due to Interim Analysis (100 patients at Week 16) meeting futility.,"Janssen Research & Development, LLC"
NCT01012297,bevacizumab,BEVACIZUMAB,CHEMBL1201583,Antibody,APPROVAL,VEGFA,1,Vascular endothelial growth factor A inhibitor,PHASE3,107,Recurrent Uterine Corpus Sarcoma|Stage IIIA Uterine Sarcoma|,"The study was targeted to accrue 130 patients, but closed early for futility.",National Cancer Institute (NCI)
NCT00946712,bevacizumab,BEVACIZUMAB,CHEMBL1201583,Antibody,APPROVAL,VEGFA,1,Vascular endothelial growth factor A inhibitor,PHASE3,1333,Recurrent Large Cell Lung Carcinoma|Recurrent Lung Adenocarc,terminated at pre-planned futility analysis,SWOG Cancer Research Network
NCT00458861,bg9924,BAMINERCEPT,CHEMBL1742988,Protein,PHASE_2,LTA;LTB;TNFSF14,3,Heterotrimeric lymphotoxin LTa1b2 inhibitor; Tumor necrosis factor ligand superfamily member 14 inhibitor,PHASE2,115,Rheumatoid Arthritis,Interim analysis of data failed to meet primary endpoint.,Biogen
NCT00597649,bicifadine,BICIFADINE,CHEMBL511099,Small molecule,PHASE_3,SLC6A2;SLC6A3;SLC6A4,3,Monoamine transporter inhibitor,PHASE2,250,Chronic Peripheral Neuropathy Pain in Diabetics,The 001 trial did not show benefit versus placebo,XTL Biopharmaceuticals
NCT00658645,bifeprunox,BIFEPRUNOX,CHEMBL218166,Small molecule,PHASE_3,DRD2;HTR1A,2,Dopamine D2 receptor partial agonist; Serotonin 1a (5-HT1a) receptor partial agonist,PHASE3,227,Schizophrenia,Interim analysis showed inadequate efficacy of bifeprunox,H. Lundbeck A/S
NCT00704509,bifeprunox,BIFEPRUNOX,CHEMBL218166,Small molecule,PHASE_3,DRD2;HTR1A,2,Dopamine D2 receptor partial agonist; Serotonin 1a (5-HT1a) receptor partial agonist,PHASE3,346,Schizophrenia,Interim analysis showed inadequate efficacy of bifeprunox,H. Lundbeck A/S
NCT03352557,biib092,GOSURANEMAB,CHEMBL3990042,Antibody,PHASE_2,MAPT,1,Microtubule-associated protein tau inhibitor,PHASE2,654,Alzheimer's Disease,The study (NCT03352557) was terminated based on lack of efficacy following the placebo-controlled period readout.,Biogen
NCT02147873,birinapant,BIRINAPANT,CHEMBL3039522,Small molecule,PHASE_2,BIRC2;BIRC3,2,cIAP1/cIAP2 inhibitor,PHASE2,118,Myelodysplastic Syndrome (MDS)|Chronic Myelomonocytic Leukem,Study terminated due to lack of efficacy,TetraLogic Pharmaceuticals
NCT05028569,botox,BOTULINUM TOXIN TYPE A,CHEMBL4297862,Protein,APPROVAL,SNAP25,1,Synaptosomal nerve-associated protein 25 (SNAP-25) hydrolytic enzyme,PHASE3,775,Episodic Migraine,The study was terminated early due to lack of efficacy from the primary analysis results.,AbbVie
NCT01902290,brodalumab,BRODALUMAB,CHEMBL1742996,Antibody,APPROVAL,IL17RA,1,Interleukin-17 receptor A antagonist,PHASE2,421,Asthma,Study terminated early due to lack of efficacy observed following interim analysis in Q2 2015. Study Closed once all sites were closed in eClinical,Amgen
NCT04193878,budesonide and formoterol,BUDESONIDE,CHEMBL1370,Small molecule,APPROVAL,NR3C1,1,Glucocorticoid receptor agonist,PHASE3,465,Pneumonia|Hypoxemia|Acute Respiratory Failure|COVID-19 Pneum,"Per DSMB's review of interim analysis, the study has reached the pre-specified futility criteria",Stanford University
NCT04826484,bupivacaine hydrochloride,BUPIVACAINE HYDROCHLORIDE,CHEMBL1200396,Small molecule,APPROVAL,SCN4A,1,Sodium channel protein type IV alpha subunit blocker,PHASE3,104,Urologic Diseases|Hypospadias|Undescended Testes|Chordee|Hyd,Met futility threshold at interim analysis,Johns Hopkins University
NCT00270257,buprenorphine naloxone,BUPRENORPHINE,CHEMBL511142,Small molecule,APPROVAL,OPRK1;OPRM1,2,Kappa opioid receptor agonist; Mu opioid receptor agonist,PHASE3,1251,HIV Infections|Opioid-Related Disorders,DSMB halted the study due to futility as a result of lower than anticipated HIV incidence rates,National Institute of Allergy and Infect
NCT04338269,cabozantinib,CABOZANTINIB,CHEMBL2105717,Small molecule,APPROVAL,KDR;MET,2,Hepatocyte growth factor receptor inhibitor; Vascular endothelial growth factor receptor 2 inhibitor,PHASE3,522,"Carcinoma, Renal Cell",As the study did not meet it's primary endpoint a decision was made to terminate the study.,Hoffmann-La Roche
NCT03340727,caffeine citrate,CAFFEINE CITRATE,CHEMBL1200569,Small molecule,APPROVAL,ADORA1;ADORA2A;ADORA2B;ADORA3,4,Adenosine receptor antagonist,PHASE3,827,Apnea of Prematurity,Futility,NICHD Neonatal Research Network
NCT00418782,ce-224535,CE-224535,CHEMBL1823817,Small molecule,PHASE_2_3,P2RX7,1,P2X purinoceptor 7 antagonist,PHASE2,212,Osteoarthritis,Results of interim analysis indicate lack of efficacy when compared to placebo.,Pfizer
NCT03028740,cenicriviroc,CENICRIVIROC,CHEMBL2110727,Small molecule,PHASE_3,CCR2;CCR5,2,C-C chemokine receptor type 2 antagonist; C-C chemokine receptor type 5 antagonist,PHASE3,1778,Nonalcoholic Steatohepatitis,This study was terminated early due to lack of efficacy based on the results of the planned interim analysis of Part 1 data.,"Tobira Therapeutics, Inc."
NCT00449150,cetrorelix,CETRORELIX,CHEMBL1200490,Protein,APPROVAL,GNRHR,1,Gonadotropin-releasing hormone receptor antagonist,PHASE3,667,Benign Prostatic Hypertrophy,Trial did not meet primary efficacy endpoint for double blind phase.,AEterna Zentaris
NCT00946712,cetuximab,CETUXIMAB,CHEMBL1201577,Antibody,APPROVAL,EGFR,1,Epidermal growth factor receptor erbB1 inhibitor,PHASE3,1333,Recurrent Large Cell Lung Carcinoma|Recurrent Lung Adenocarc,terminated at pre-planned futility analysis,SWOG Cancer Research Network
NCT01230827,cnto 148,GOLIMUMAB,CHEMBL1201833,Antibody,APPROVAL,TNF,1,TNF-alpha inhibitor,PHASE3,173,Juvenile Idiopathic Arthritis,Trial has failed to meet primary - and major secondary endpoints,"Janssen Research & Development, LLC"
NCT04985968,cobitolimod,COBITOLIMOD,CHEMBL4297564,Oligonucleotide,PHASE_3,TLR9,1,Toll-like receptor 9 agonist,PHASE3,171,Ulcerative Colitis,Due to futility,InDex Pharmaceuticals
